,Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Nsites,Density (gm/cc),Volume,Has Bandstructure,Crystal System,Li,Si,Mn,Fe,O,Co
173,mp-761352,LiMnSiO4,Imma,-2.581,0.097,0.903,14,3.739,136.74,True,orthorhombic,1.0,1.0,1.0,0.0,4.0,0.0
174,mp-764790,Li2FeSiO4,Pcmn,-2.626,0.0,3.121,32,3.094,347.336,True,orthorhombic,2.0,1.0,0.0,1.0,4.0,0.0
175,mp-18968,Li2FeSiO4,P21nm,-2.626,0.001,3.124,16,3.123,172.094,True,orthorhombic,2.0,1.0,0.0,1.0,4.0,0.0
176,mp-761416,LiFe(SiO3)2,Pbca,-2.818,0.003,2.745,80,3.333,856.726,True,orthorhombic,1.0,2.0,0.0,1.0,6.0,0.0
177,mp-764346,Li2FeSiO4,P21cn,-2.621,0.005,2.993,32,3.065,350.604,True,orthorhombic,2.0,1.0,0.0,1.0,4.0,0.0
178,mp-763645,Li2FeSiO4,Pmnb,-2.621,0.005,3.089,32,3.049,352.518,True,orthorhombic,2.0,1.0,0.0,1.0,4.0,0.0
179,mp-764341,Li3FeSiO5,P21nb,-2.56,0.008,2.314,40,2.831,433.391,True,orthorhombic,3.0,1.0,0.0,1.0,5.0,0.0
180,mp-762557,Li2FeSiO4,Pna21,-2.618,0.009,2.946,32,3.01,357.063,True,orthorhombic,2.0,1.0,0.0,1.0,4.0,0.0
181,mp-863851,LiFeSiO4,Pbnm,-2.611,0.01,2.3,28,3.563,288.72,True,orthorhombic,1.0,1.0,0.0,1.0,4.0,0.0
182,mp-765849,LiFe(SiO3)2,C222,-2.81,0.011,3.023,10,2.523,141.451,True,orthorhombic,1.0,2.0,0.0,1.0,6.0,0.0
183,mp-762566,Li2FeSiO4,C2221,-2.615,0.011,2.965,16,2.948,182.303,True,orthorhombic,2.0,1.0,0.0,1.0,4.0,0.0
184,mp-762540,Li2FeSiO4,Pbn21,-2.613,0.014,2.924,32,3.07,350.111,True,orthorhombic,2.0,1.0,0.0,1.0,4.0,0.0
185,mp-767964,Li2Fe(SiO3)2,Fdd2,-2.791,0.015,3.314,22,2.807,262.576,True,orthorhombic,2.0,2.0,0.0,1.0,6.0,0.0
186,mp-762581,LiFeSiO4,Pn21a,-2.604,0.018,2.961,28,2.89,355.979,True,orthorhombic,1.0,1.0,0.0,1.0,4.0,0.0
187,mp-764340,Li2FeSiO4,Pc21n,-2.607,0.02,2.957,32,2.986,359.989,True,orthorhombic,2.0,1.0,0.0,1.0,4.0,0.0
188,mp-763641,LiFeSiO4,Pb21a,-2.598,0.023,2.959,56,2.881,714.127,True,orthorhombic,1.0,1.0,0.0,1.0,4.0,0.0
189,mp-762799,LiFeSiO4,Pb21a,-2.598,0.024,2.979,56,2.875,715.629,True,orthorhombic,1.0,1.0,0.0,1.0,4.0,0.0
190,mp-763635,LiFeSiO4,Pna21,-2.597,0.025,2.963,28,2.866,358.902,True,orthorhombic,1.0,1.0,0.0,1.0,4.0,0.0
191,mp-767253,LiFeSiO4,C2221,-2.597,0.025,2.874,14,2.863,179.638,True,orthorhombic,1.0,1.0,0.0,1.0,4.0,0.0
192,mp-766714,Li3Fe(Si2O5)3,Cmce,-2.976,0.032,3.386,100,2.592,1243.201,False,orthorhombic,3.0,6.0,0.0,1.0,15.0,0.0
193,mp-762643,LiFeSiO4,Cmcm,-2.588,0.034,1.657,14,3.628,141.773,True,orthorhombic,1.0,1.0,0.0,1.0,4.0,0.0
194,mp-766664,LiFeSiO4,Pna21,-2.587,0.035,1.675,84,3.644,846.947,True,orthorhombic,1.0,1.0,0.0,1.0,4.0,0.0
195,mp-761764,Li3Fe(Si2O5)3,Pcmn,-2.971,0.037,3.262,100,2.735,1178.251,False,orthorhombic,3.0,6.0,0.0,1.0,15.0,0.0
196,mp-762844,Li4Fe2Si4O13,Pna21,-2.743,0.038,2.78,92,3.104,983.89,False,orthorhombic,4.0,4.0,0.0,2.0,13.0,0.0
197,mp-868323,LiFeSiO4,Pbnm,-2.582,0.04,1.989,28,3.634,283.063,True,orthorhombic,1.0,1.0,0.0,1.0,4.0,0.0
198,mp-767850,LiFeSiO4,Pc21n,-2.58,0.042,2.87,28,2.914,353.0,True,orthorhombic,1.0,1.0,0.0,1.0,4.0,0.0
199,mp-766989,LiFe(Si2O5)2,Pnc2,-2.952,0.043,3.053,32,2.798,397.806,True,orthorhombic,1.0,4.0,0.0,1.0,10.0,0.0
200,mp-761405,Li2Fe2Si2O7,C2cm,-2.603,0.046,3.129,26,3.414,285.751,True,orthorhombic,2.0,2.0,0.0,2.0,7.0,0.0
201,mp-773415,Li2Fe2(Si2O5)3,Cmce,-2.904,0.05,3.152,100,2.651,1338.234,False,orthorhombic,2.0,6.0,0.0,2.0,15.0,0.0
202,mp-761767,LiFe(SiO3)2,Pbca,-2.77,0.051,2.981,80,3.098,921.698,False,orthorhombic,1.0,2.0,0.0,1.0,6.0,0.0
203,mp-767743,LiFeSiO4,Pbn21,-2.569,0.052,2.833,28,2.869,358.537,True,orthorhombic,1.0,1.0,0.0,1.0,4.0,0.0
204,mp-762703,LiFeSiO4,P21nb,-2.566,0.055,2.63,28,2.882,356.872,True,orthorhombic,1.0,1.0,0.0,1.0,4.0,0.0
205,mp-762545,Li2FeSiO4,Pca21,-2.571,0.056,2.78,64,2.875,747.562,True,orthorhombic,2.0,1.0,0.0,1.0,4.0,0.0
206,mp-762587,LiFeSiO4,Pb21a,-2.565,0.057,2.855,56,2.874,715.92,True,orthorhombic,1.0,1.0,0.0,1.0,4.0,0.0
207,mp-762570,Li3FeSi2O7,Pbnm,-2.691,0.057,2.512,52,2.89,562.749,True,orthorhombic,3.0,2.0,0.0,1.0,7.0,0.0
208,mp-851283,LiFeSiO4,Pc21n,-2.564,0.058,2.73,28,2.856,360.121,True,orthorhombic,1.0,1.0,0.0,1.0,4.0,0.0
209,mp-863911,Li2Fe(SiO3)2,Fdd2,-2.748,0.058,2.917,66,2.723,811.767,True,orthorhombic,2.0,2.0,0.0,1.0,6.0,0.0
210,mp-762804,LiFeSiO4,P21nb,-2.563,0.059,2.551,28,2.966,346.859,True,orthorhombic,1.0,1.0,0.0,1.0,4.0,0.0
211,mp-766752,Li7Fe7SiO16,C222,-2.142,0.062,1.438,31,4.186,287.012,True,orthorhombic,7.0,1.0,0.0,7.0,16.0,0.0
212,mp-863885,LiFe(SiO3)2,C2221,-2.757,0.064,3.23,40,2.375,601.224,True,orthorhombic,1.0,2.0,0.0,1.0,6.0,0.0
213,mp-775303,Li2Fe(Si2O5)3,Cmce,-2.918,0.067,3.155,96,2.527,1257.084,False,orthorhombic,2.0,6.0,0.0,1.0,15.0,0.0
214,mp-761559,LiFeSiO4,Pna21,-2.554,0.068,2.603,28,2.934,350.638,True,orthorhombic,1.0,1.0,0.0,1.0,4.0,0.0
215,mp-761450,LiFeSi3O8,P212121,-2.858,0.069,3.182,52,2.676,682.572,True,orthorhombic,1.0,3.0,0.0,1.0,8.0,0.0
216,mp-868349,LiFeSiO4,Pna21,-2.551,0.07,2.631,28,2.984,344.706,True,orthorhombic,1.0,1.0,0.0,1.0,4.0,0.0
217,mp-766964,Li2Fe2SiO6,C222,-2.365,0.072,2.493,11,2.625,157.939,True,orthorhombic,2.0,1.0,0.0,2.0,6.0,0.0
218,mp-762620,Li2Fe(Si2O5)2,P212121,-2.899,0.076,3.435,68,2.323,977.912,False,orthorhombic,2.0,4.0,0.0,1.0,10.0,0.0
219,mp-773468,LiFeSiO4,Imma,-2.546,0.076,1.311,14,3.898,131.954,True,orthorhombic,1.0,1.0,0.0,1.0,4.0,0.0
220,mp-863888,Li2Fe(SiO3)2,Pmn21,-2.73,0.076,2.624,66,3.023,731.236,True,orthorhombic,2.0,2.0,0.0,1.0,6.0,0.0
221,mp-762576,Li2Fe2Si2O7,C2cm,-2.573,0.076,2.7,26,3.039,320.953,True,orthorhombic,2.0,2.0,0.0,2.0,7.0,0.0
222,mp-762534,Li2Fe2(SiO3)3,Pnma,-2.69,0.077,3.087,64,3.128,751.301,True,orthorhombic,2.0,3.0,0.0,2.0,9.0,0.0
223,mp-762648,LiFeSiO4,P212121,-2.544,0.078,1.873,28,3.34,307.957,True,orthorhombic,1.0,1.0,0.0,1.0,4.0,0.0
224,mp-762533,Li2Fe2(SiO3)3,Pnma,-2.69,0.078,3.114,64,2.573,913.228,False,orthorhombic,2.0,3.0,0.0,2.0,9.0,0.0
225,mp-762686,LiFeSiO4,Pna21,-2.544,0.078,2.38,28,2.872,358.225,True,orthorhombic,1.0,1.0,0.0,1.0,4.0,0.0
226,mp-763624,Li2Fe(SiO3)2,Pm21n,-2.726,0.08,2.88,66,3.017,732.676,True,orthorhombic,2.0,2.0,0.0,1.0,6.0,0.0
227,mp-762696,LiFeSiO4,Pbca,-2.539,0.083,1.791,56,2.96,694.96,True,orthorhombic,1.0,1.0,0.0,1.0,4.0,0.0
228,mp-762746,Li2Fe2SiO6,Fdd2,-2.348,0.089,2.223,66,2.98,834.696,True,orthorhombic,2.0,1.0,0.0,2.0,6.0,0.0
229,mp-868335,Li2Fe2Si3O10,F2dd,-2.647,0.092,3.04,34,2.286,537.355,True,orthorhombic,2.0,3.0,0.0,2.0,10.0,0.0
230,mp-865154,LiFe(Si3O7)2,Icma,-2.981,0.093,2.647,88,2.807,1077.384,False,orthorhombic,1.0,6.0,0.0,1.0,14.0,0.0
231,mp-762827,Li5Fe(SiO4)2,Pnma,-2.598,0.094,2.082,128,2.655,1374.684,False,orthorhombic,5.0,2.0,0.0,1.0,8.0,0.0
232,mp-762638,LiFeSiO4,P21nb,-2.527,0.095,2.128,56,2.635,780.749,True,orthorhombic,1.0,1.0,0.0,1.0,4.0,0.0
233,mp-762775,Li2Fe2Si2O9,Pnca,-2.339,0.111,0.033,60,3.442,628.652,False,orthorhombic,2.0,2.0,0.0,2.0,9.0,0.0
234,mp-763746,Li2FeSiO5,Pmc21,-2.342,0.112,0.0,36,3.125,377.974,True,orthorhombic,2.0,1.0,0.0,1.0,5.0,0.0
235,mp-775750,LiFe(Si2O5)3,Cmce,-2.836,0.122,2.611,92,2.508,1248.278,False,orthorhombic,1.0,6.0,0.0,1.0,15.0,0.0
236,mp-767128,Li2CoSiO4,P21nm,-2.532,0.005,2.72,16,3.249,168.54,True,orthorhombic,2.0,1.0,0.0,0.0,4.0,1.0
237,mp-764641,Li2CoSiO4,Pc21n,-2.532,0.005,2.918,32,3.181,344.33,True,orthorhombic,2.0,1.0,0.0,0.0,4.0,1.0
238,mp-763304,Li2CoSiO4,Pc21n,-2.532,0.005,2.994,32,3.148,347.939,True,orthorhombic,2.0,1.0,0.0,0.0,4.0,1.0
239,mp-763309,Li2CoSiO4,Pcmn,-2.531,0.006,2.841,32,3.231,338.972,True,orthorhombic,2.0,1.0,0.0,0.0,4.0,1.0
240,mp-764956,Li2CoSiO4,C2221,-2.527,0.01,2.8,16,3.104,176.442,True,orthorhombic,2.0,1.0,0.0,0.0,4.0,1.0
241,mp-763391,Li2Co(SiO3)2,F2dd,-2.729,0.012,2.973,22,2.888,258.73,True,orthorhombic,2.0,2.0,0.0,0.0,6.0,1.0
242,mp-763485,Li2CoSiO4,Pmnb,-2.523,0.014,2.693,32,3.159,346.674,True,orthorhombic,2.0,1.0,0.0,0.0,4.0,1.0
243,mp-764957,Li2CoSiO4,Pbn21,-2.522,0.015,2.757,32,3.226,339.508,True,orthorhombic,2.0,1.0,0.0,0.0,4.0,1.0
244,mp-763492,Li3CoSiO5,P21nb,-2.418,0.033,1.176,40,2.941,424.186,True,orthorhombic,3.0,1.0,0.0,0.0,5.0,1.0
245,mp-762880,LiCoSiO4,Pn21a,-2.376,0.06,1.422,28,3.033,345.946,True,orthorhombic,1.0,1.0,0.0,0.0,4.0,1.0
246,mp-763240,LiCoSiO4,C2221,-2.374,0.062,1.265,14,2.98,176.01,True,orthorhombic,1.0,1.0,0.0,0.0,4.0,1.0
247,mp-543100,LiCoSiO4,Pbn21,-2.371,0.065,1.398,28,2.985,351.446,True,orthorhombic,1.0,1.0,0.0,0.0,4.0,1.0
248,mp-763443,Li2Co(SiO3)2,Fdd2,-2.675,0.065,2.969,66,2.861,783.351,True,orthorhombic,2.0,2.0,0.0,0.0,6.0,1.0
249,mp-763589,LiCoSiO4,Pb21a,-2.37,0.066,1.194,56,3.014,696.129,True,orthorhombic,1.0,1.0,0.0,0.0,4.0,1.0
250,mp-763584,LiCoSiO4,Pb21a,-2.369,0.067,1.31,56,3.029,692.711,True,orthorhombic,1.0,1.0,0.0,0.0,4.0,1.0
251,mp-772320,Li2CoSiO4,Pca21,-2.467,0.07,2.916,64,3.046,719.179,True,orthorhombic,2.0,1.0,0.0,0.0,4.0,1.0
252,mp-763369,Li2Co2Si2O7,C2cm,-2.455,0.07,2.344,26,3.213,309.993,True,orthorhombic,2.0,2.0,0.0,0.0,7.0,2.0
253,mp-779191,LiCoSiO4,Pbn21,-2.365,0.07,1.527,28,3.029,346.421,False,orthorhombic,1.0,1.0,0.0,0.0,4.0,1.0
254,mp-763386,Li2Co2Si2O7,C2cm,-2.453,0.072,2.84,26,3.579,278.304,True,orthorhombic,2.0,2.0,0.0,0.0,7.0,2.0
255,mp-763376,Li2Co(Si2O5)2,P212121,-2.858,0.075,3.273,68,2.37,967.213,True,orthorhombic,2.0,4.0,0.0,0.0,10.0,1.0
256,mp-763406,Li2Co2(SiO3)3,Pnma,-2.591,0.076,2.744,64,2.658,899.635,True,orthorhombic,2.0,3.0,0.0,0.0,9.0,2.0
257,mp-762722,LiCoSiO4,P21nb,-2.353,0.082,1.411,28,3.112,337.098,True,orthorhombic,1.0,1.0,0.0,0.0,4.0,1.0
258,mp-762892,LiCoSiO4,Pcmn,-2.352,0.083,0.77,28,3.736,280.858,True,orthorhombic,1.0,1.0,0.0,0.0,4.0,1.0
259,mp-763260,LiCoSiO4,Pc21n,-2.352,0.083,1.367,28,2.935,357.496,True,orthorhombic,1.0,1.0,0.0,0.0,4.0,1.0
260,mp-762888,LiCoSiO4,Cmcm,-2.351,0.084,0.871,14,3.762,139.432,True,orthorhombic,1.0,1.0,0.0,0.0,4.0,1.0
261,mp-779192,LiCoSiO4,P21nb,-2.351,0.084,1.323,28,3.0,349.762,True,orthorhombic,1.0,1.0,0.0,0.0,4.0,1.0
262,mp-763360,Li2Co2(SiO3)3,Pnma,-2.574,0.094,2.842,64,3.249,735.894,True,orthorhombic,2.0,3.0,0.0,0.0,9.0,2.0
263,mp-762860,LiCoSiO4,Pcmn,-2.339,0.097,0.736,28,3.605,291.06,True,orthorhombic,1.0,1.0,0.0,0.0,4.0,1.0
264,mp-762247,LiCoSiO4,P212121,-2.327,0.109,0.702,28,3.203,327.583,True,orthorhombic,1.0,1.0,0.0,0.0,4.0,1.0
265,mp-762883,LiCoSiO4,Imcm,-2.291,0.144,0.511,14,4.15,126.395,True,orthorhombic,1.0,1.0,0.0,0.0,4.0,1.0
266,mp-763534,Li2Co2SiO6,Ccme,-2.012,0.19,0.717,22,3.927,216.338,True,orthorhombic,2.0,1.0,0.0,0.0,6.0,2.0
267,mp-767711,Li2Mn2Si4O11,P1,-2.904,0.012,0.904,38,3.098,441.742,True,triclinic,2.0,4.0,2.0,0.0,11.0,0.0
268,mp-868265,Li2Mn4Si4O13,P1,-2.755,0.019,2.346,46,3.481,528.536,True,triclinic,2.0,4.0,4.0,0.0,13.0,0.0
269,mp-761470,Li2Mn2Si5O13,P1,-2.946,0.02,3.286,44,3.009,521.131,True,triclinic,2.0,5.0,2.0,0.0,13.0,0.0
270,mp-868673,Li15Mn15SiO32,P1,-2.194,0.028,0.311,63,4.093,595.723,False,triclinic,15.0,1.0,15.0,0.0,32.0,0.0
271,mp-761381,Li2Mn5(Si2O7)2,P1,-2.69,0.031,0.0,25,3.434,302.156,True,triclinic,2.0,4.0,5.0,0.0,14.0,0.0
272,mp-766967,Li2Mn3(Si3O8)2,P1,-2.894,0.043,2.865,54,3.012,665.118,True,triclinic,2.0,6.0,3.0,0.0,16.0,0.0
273,mp-767443,Li2Mn5Si5O16,P1,-2.736,0.045,2.164,28,2.985,381.117,True,triclinic,2.0,5.0,5.0,0.0,16.0,0.0
274,mp-850240,Li2Mn3(SiO4)2,P1,-2.61,0.05,2.045,45,3.062,590.331,True,triclinic,2.0,2.0,3.0,0.0,8.0,0.0
275,mp-850159,Li2Mn(Si2O5)2,P1,-2.958,0.054,3.036,34,2.633,430.361,True,triclinic,2.0,4.0,1.0,0.0,10.0,0.0
276,mp-761439,LiMn(SiO3)2,P1,-2.801,0.059,0.714,80,3.314,858.022,True,triclinic,1.0,2.0,1.0,0.0,6.0,0.0
277,mp-768071,Li5Mn17(SiO16)2,P1,-2.172,0.059,0.348,56,4.201,607.507,True,triclinic,5.0,2.0,17.0,0.0,32.0,0.0
278,mp-761417,Li2Mn2Si4O11,P1,-2.847,0.069,0.0,38,2.897,472.42,True,triclinic,2.0,4.0,2.0,0.0,11.0,0.0
279,mp-868526,Li9Mn5(SiO8)2,P1,-2.372,0.07,1.154,32,3.706,290.951,True,triclinic,9.0,2.0,5.0,0.0,16.0,0.0
280,mp-767282,Li2MnSi3O8,P1,-2.872,0.082,2.655,14,2.497,186.943,True,triclinic,2.0,3.0,1.0,0.0,8.0,0.0
281,mp-761967,LiMnSi3O8,P1,-2.868,0.09,1.055,26,2.963,307.264,False,triclinic,1.0,3.0,1.0,0.0,8.0,0.0
282,mp-767982,Li3Mn2(SiO4)2,P1,-2.605,0.09,0.0,15,2.938,177.985,True,triclinic,3.0,2.0,2.0,0.0,8.0,0.0
283,mp-761430,Li7Mn11(Si3O16)2,P1,-2.439,0.092,0.361,56,3.909,566.407,False,triclinic,7.0,6.0,11.0,0.0,32.0,0.0
284,mp-780147,LiMnSiO4,P1,-2.58,0.098,0.995,28,3.294,310.44,True,triclinic,1.0,1.0,1.0,0.0,4.0,0.0
285,mp-767274,Li3MnSi2O7,P1,-2.68,0.099,1.161,13,2.709,149.499,True,triclinic,3.0,2.0,1.0,0.0,7.0,0.0
286,mp-780196,LiMnSiO4,P1,-2.577,0.1,0.409,28,2.984,342.663,True,triclinic,1.0,1.0,1.0,0.0,4.0,0.0
287,mp-761735,Li2Fe2Si4O11,P1,-2.837,0.013,1.892,38,3.189,431.059,True,triclinic,2.0,4.0,0.0,2.0,11.0,0.0
288,mp-765915,LiFe(SiO3)2,P1,-2.791,0.03,3.056,20,2.2,324.509,True,triclinic,1.0,2.0,0.0,1.0,6.0,0.0
289,mp-868566,LiFe(SiO3)2,P1,-2.79,0.031,2.427,30,3.193,335.392,True,triclinic,1.0,2.0,0.0,1.0,6.0,0.0
290,mp-761402,Li2Fe5(Si2O7)2,P1,-2.563,0.031,0.0,25,3.492,299.319,True,triclinic,2.0,4.0,0.0,5.0,14.0,0.0
291,mp-761459,LiFeSi3O8,P1,-2.896,0.032,3.342,26,2.76,330.953,False,triclinic,1.0,3.0,0.0,1.0,8.0,0.0
292,mp-761705,Li2Fe4Si4O13,P1,-2.632,0.032,3.118,46,3.599,514.551,False,triclinic,2.0,4.0,0.0,4.0,13.0,0.0
293,mp-761475,Li2Fe2Si5O13,P1,-2.875,0.034,3.394,44,3.086,510.174,True,triclinic,2.0,5.0,0.0,2.0,13.0,0.0
294,mp-773691,LiFe(SiO3)2,P1,-2.785,0.036,2.596,80,3.251,878.288,False,triclinic,1.0,2.0,0.0,1.0,6.0,0.0
295,mp-767996,Li3Fe2(SiO4)2,P1,-2.585,0.039,1.626,15,2.951,178.21,True,triclinic,3.0,2.0,0.0,2.0,8.0,0.0
296,mp-761820,LiFeSi3O8,P1,-2.886,0.041,3.16,26,2.703,337.873,True,triclinic,1.0,3.0,0.0,1.0,8.0,0.0
297,mp-767726,Li2Fe2Si3O10,P1,-2.694,0.044,2.325,34,2.821,435.364,True,triclinic,2.0,3.0,0.0,2.0,10.0,0.0
298,mp-763810,Li17Fe6(Si2O7)6,P1,-2.691,0.046,0.0,77,2.868,846.546,False,triclinic,17.0,12.0,0.0,6.0,42.0,0.0
299,mp-767707,Li2Fe5Si5O16,P1,-2.62,0.049,2.117,28,3.101,369.232,True,triclinic,2.0,5.0,0.0,5.0,16.0,0.0
300,mp-761382,Li2Fe3(Si3O8)2,P1,-2.817,0.05,2.826,54,3.088,651.656,True,triclinic,2.0,6.0,0.0,3.0,16.0,0.0
301,mp-762716,Li2Fe3(SiO4)2,P1,-2.482,0.051,2.23,45,3.204,568.378,True,triclinic,2.0,2.0,0.0,3.0,8.0,0.0
302,mp-780681,LiFe3(SiO4)2,P1,-2.468,0.058,0.631,42,3.133,570.329,True,triclinic,1.0,2.0,0.0,3.0,8.0,0.0
303,mp-763739,Li3Fe2(SiO4)2,P1,-2.565,0.059,1.14,15,3.034,173.298,True,triclinic,3.0,2.0,0.0,2.0,8.0,0.0
304,mp-761622,Li7Fe7SiO16,P1,-2.144,0.06,1.955,31,3.232,371.739,True,triclinic,7.0,1.0,0.0,7.0,16.0,0.0
305,mp-768001,Li6Fe(SiO4)2,P1,-2.595,0.063,3.736,17,2.678,174.618,True,triclinic,6.0,2.0,0.0,1.0,8.0,0.0
306,mp-772589,Li2Fe(Si2O5)2,P1,-2.911,0.064,3.079,34,2.633,431.422,False,triclinic,2.0,4.0,0.0,1.0,10.0,0.0
307,mp-764102,Li3Fe2(SiO4)2,P1,-2.558,0.066,0.931,30,2.911,361.337,True,triclinic,3.0,2.0,0.0,2.0,8.0,0.0
308,mp-761513,LiFeSi3O8,P1,-2.859,0.068,2.413,26,2.896,315.39,False,triclinic,1.0,3.0,0.0,1.0,8.0,0.0
309,mp-850922,Li3Fe2(SiO4)2,P1,-2.555,0.069,1.854,15,2.925,179.798,True,triclinic,3.0,2.0,0.0,2.0,8.0,0.0
310,mp-762655,LiFeSiO4,P1,-2.551,0.071,2.292,28,2.969,346.461,True,triclinic,1.0,1.0,0.0,1.0,4.0,0.0
311,mp-763637,Li4Fe2SiO7,P1,-2.356,0.071,1.851,14,3.787,122.581,True,triclinic,4.0,1.0,0.0,2.0,7.0,0.0
312,mp-767328,Li5Fe5Si7O24,P1,-2.647,0.072,2.373,41,2.501,593.87,True,triclinic,5.0,7.0,0.0,5.0,24.0,0.0
313,mp-868319,Li5Fe5Si7O24,P1,-2.646,0.072,2.598,41,2.546,583.402,True,triclinic,5.0,7.0,0.0,5.0,24.0,0.0
314,mp-863852,Li5Fe5Si7O24,P1,-2.646,0.073,2.391,41,2.55,582.533,True,triclinic,5.0,7.0,0.0,5.0,24.0,0.0
315,mp-772382,Li2FeSi3O8,P1,-2.833,0.076,3.041,14,2.524,185.499,True,triclinic,2.0,3.0,0.0,1.0,8.0,0.0
316,mp-766744,Li2Fe2Si4O11,P1,-2.768,0.081,0.0,38,2.958,464.73,True,triclinic,2.0,4.0,0.0,2.0,11.0,0.0
317,mp-779820,Li3Fe4(Si3O10)2,P1,-2.633,0.082,0.054,33,2.777,438.109,True,triclinic,3.0,6.0,0.0,4.0,20.0,0.0
318,mp-868418,Li2FeSi3O8,P1,-2.826,0.082,0.0,28,2.507,373.616,True,triclinic,2.0,3.0,0.0,1.0,8.0,0.0
319,mp-773385,Li3FeSiO5,P1,-2.486,0.083,2.254,20,3.575,171.619,True,triclinic,3.0,1.0,0.0,1.0,5.0,0.0
320,mp-767276,Li5Fe5Si7O24,P1,-2.635,0.084,1.827,41,2.433,610.604,True,triclinic,5.0,7.0,0.0,5.0,24.0,0.0
321,mp-762704,Li4Fe(SiO4)2,P1,-2.543,0.089,0.232,15,2.781,159.895,False,triclinic,4.0,2.0,0.0,1.0,8.0,0.0
322,mp-767753,Li2Fe2Si8O19,P1,-2.927,0.091,3.508,31,2.776,391.367,True,triclinic,2.0,8.0,0.0,2.0,19.0,0.0
323,mp-762705,Li3FeSiO5,P1,-2.474,0.094,2.173,20,3.615,169.712,True,triclinic,3.0,1.0,0.0,1.0,5.0,0.0
324,mp-762768,Li9Fe4(SiO5)4,P1,-2.391,0.094,0.005,37,2.617,455.754,False,triclinic,9.0,4.0,0.0,4.0,20.0,0.0
325,mp-778793,Li4Fe3(SiO4)3,P1,-2.524,0.099,0.976,22,3.031,258.368,True,triclinic,4.0,3.0,0.0,3.0,12.0,0.0
326,mp-761351,Li2Fe(Si2O5)3,P1,-2.882,0.104,0.189,24,2.624,302.599,False,triclinic,2.0,6.0,0.0,1.0,15.0,0.0
327,mp-761343,Li16Fe4SiO16,P1,-2.132,0.106,2.139,37,2.668,384.899,True,triclinic,16.0,1.0,0.0,4.0,16.0,0.0
328,mp-762762,LiFe2(SiO4)2,P1,-2.426,0.114,0.0,39,2.753,547.911,False,triclinic,1.0,2.0,0.0,2.0,8.0,0.0
329,mp-761348,Li7Fe7SiO16,P1,-2.087,0.118,1.492,31,3.233,371.607,True,triclinic,7.0,1.0,0.0,7.0,16.0,0.0
330,mp-763462,Li2Co3(SiO4)2,P1,-2.343,0.024,2.47,45,3.408,547.959,True,triclinic,2.0,2.0,0.0,0.0,8.0,3.0
331,mp-762851,Li3Co2(SiO4)2,P1,-2.441,0.055,0.376,15,3.088,173.602,True,triclinic,3.0,2.0,0.0,0.0,8.0,2.0
332,mp-764452,Li3Co2(SiO4)2,P1,-2.439,0.057,0.23,15,3.024,177.312,True,triclinic,3.0,2.0,0.0,0.0,8.0,2.0
333,mp-770682,Li2Co(Si2O5)2,P1,-2.862,0.07,3.06,34,2.74,418.368,True,triclinic,2.0,4.0,0.0,0.0,10.0,1.0
334,mp-764961,Li6Co(SiO4)2,P1,-2.545,0.071,2.685,17,2.753,171.772,True,triclinic,6.0,2.0,0.0,0.0,8.0,1.0
335,mp-849520,LiCo3(SiO4)2,P1,-2.25,0.076,0.005,42,3.318,552.402,True,triclinic,1.0,2.0,0.0,0.0,8.0,3.0
336,mp-849656,Li5Co4(Si3O10)2,P1,-2.529,0.082,0.176,35,2.94,428.648,True,triclinic,5.0,6.0,0.0,0.0,20.0,4.0
337,mp-763557,LiCoSiO4,P1,-2.348,0.087,1.333,14,2.451,214.044,True,triclinic,1.0,1.0,0.0,0.0,4.0,1.0
338,mp-767320,Li3Co2(SiO4)2,P1,-2.406,0.09,0.323,15,3.043,176.207,False,triclinic,3.0,2.0,0.0,0.0,8.0,2.0
